Thu Dec 14 11:36:57 2017 for USER 1 and pattern [4, 4, 4] the observed label,value are 2 1 
Thu Dec 14 11:37:12 2017 for USER 1 and pattern [1, 1, 4] the observed label,value are 1 0 
Thu Dec 14 13:32:30 2017 for USER 3 and pattern [1, 1, 4] the observed label,value are 2 2 
Thu Dec 14 13:33:05 2017 for USER 3 and pattern [3, 6, 7] the observed label,value are 0 2 
Thu Dec 14 13:33:27 2017 for USER 3 and pattern [4, 4, 4] the observed label,value are 1 1 
Thu Dec 14 13:33:48 2017 for USER 3 and pattern [3, 3, 3] the observed label,value are 2 2 
Thu Dec 14 13:34:06 2017 for USER 3 and pattern [0, 0, 3] the observed label,value are 2 2 
Thu Dec 14 13:34:24 2017 for USER 3 and pattern [6, 7, 8] the observed label,value are 3 1 
Thu Dec 14 13:34:42 2017 for USER 3 and pattern [0, 2, 1] the observed label,value are 1 2 
Thu Dec 14 13:35:09 2017 for USER 3 and pattern [6, 6, 6] the observed label,value are 0 1 
Thu Dec 14 13:35:25 2017 for USER 3 and pattern [7, 7, 10] the observed label,value are 2 2 
Thu Dec 14 13:35:57 2017 for USER 3 and pattern [1, 1, 8] the observed label,value are 3 3 
Thu Dec 14 14:16:15 2017 for USER 4 and pattern [7, 7, 10] the observed label,value are 2 3 
Thu Dec 14 14:16:34 2017 for USER 4 and pattern [1, 1, 8] the observed label,value are 0 1 
Thu Dec 14 14:16:51 2017 for USER 4 and pattern [0, 2, 1] the observed label,value are 1 3 
Thu Dec 14 14:17:01 2017 for USER 4 and pattern [6, 6, 6] the observed label,value are 1 3 
Thu Dec 14 14:17:28 2017 for USER 4 and pattern [3, 3, 3] the observed label,value are 1 3 
Thu Dec 14 14:17:54 2017 for USER 4 and pattern [4, 4, 4] the observed label,value are 1 3 
Thu Dec 14 14:18:16 2017 for USER 4 and pattern [3, 6, 7] the observed label,value are 1 3 
Thu Dec 14 14:18:42 2017 for USER 4 and pattern [0, 0, 3] the observed label,value are 1 3 
Thu Dec 14 14:18:53 2017 for USER 4 and pattern [6, 7, 8] the observed label,value are 0 3 
Thu Dec 14 14:19:08 2017 for USER 4 and pattern [1, 1, 4] the observed label,value are 1 3 
Thu Dec 14 14:57:00 2017 for USER 5 and pattern [0, 2, 1] the observed label,value are 3 3 
Thu Dec 14 14:57:19 2017 for USER 5 and pattern [0, 0, 3] the observed label,value are 2 4 
